date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:00	10477/10477	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jun%202020%2018:32:15%20GMT	http://uygunhesap.tk/netflix-5	C:/Users/vestel/Desktop/github/uygunhesap.tk/netflix-5.html	(from http://uygunhesap.tk/)
21:32:02	29032/29032	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20May%202020%2014:53:00%20GMT	http://uygunhesap.tk/assets/uploads/category-6.jpg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/uploads/category-6.jpg	(from http://uygunhesap.tk/)
21:32:03	13357/13357	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jun%202020%2018:32:18%20GMT	http://uygunhesap.tk/gta-v-3	C:/Users/vestel/Desktop/github/uygunhesap.tk/gta-v-3.html	(from http://uygunhesap.tk/)
21:32:04	19842/19842	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20May%202020%2014:52:23%20GMT	http://uygunhesap.tk/assets/uploads/category-5.jpg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/uploads/category-5.jpg	(from http://uygunhesap.tk/)
21:32:05	19033/19033	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20May%202020%2009:09:50%20GMT	http://uygunhesap.tk/assets/js/popper.min.js	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/js/popper.min.js	(from http://uygunhesap.tk/)
21:32:05	67599/67599	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20May%202020%2014:53:58%20GMT	http://uygunhesap.tk/assets/uploads/category-7.jpg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/uploads/category-7.jpg	(from http://uygunhesap.tk/)
21:32:06	164/164	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Nov%202017%2014:50:00%20GMT	http://uygunhesap.tk/assets/js/theme.min.js	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/js/theme.min.js	(from http://uygunhesap.tk/)
21:32:07	14239/14239	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20May%202020%2005:08:06%20GMT	http://uygunhesap.tk/assets/js/aos.min.js	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/js/aos.min.js	(from http://uygunhesap.tk/)
21:32:08	48944/48944	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2018%20Jan%202018%2016:33:36%20GMT	http://uygunhesap.tk/assets/js/bootstrap.min.js	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/js/bootstrap.min.js	(from http://uygunhesap.tk/)
21:32:08	5537/5537	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20May%202020%2009:43:50%20GMT	http://uygunhesap.tk/assets/js/toastr.min.js	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/js/toastr.min.js	(from http://uygunhesap.tk/)
21:32:09	2271/2271	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jun%202020%2018:32:24%20GMT	http://uygunhesap.tk/assets/images/ui/custom-select.png	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/images/ui/custom-select.png	(from http://uygunhesap.tk/assets/css/theme.min.css)
21:32:09	2271/2271	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jun%202020%2018:32:25%20GMT	http://uygunhesap.tk/assets/images/ui/success.svg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/images/ui/success.svg	(from http://uygunhesap.tk/assets/css/theme.min.css)
